timestamp,x,y,z
1637207922.790,0.222686768,-0.004272461,-0.974914491
1637207922.809,0.313735992,0.228134155,-0.948043823
1637207922.829,0.460739166,0.533020049,-0.814407289
1637207922.849,0.570953369,0.701858521,-0.680343568
1637207922.869,0.572479278,0.748657227,-0.67326355
1637207922.889,0.485137969,0.681091338,-0.745925903
1637207922.909,0.46458438,0.589553833,-0.805435181
1637207922.929,0.442718506,0.454879731,-0.877090394
1637207922.948,0.375259429,0.321014434,-0.937713563
1637207922.969,0.326049805,0.287078857,-0.933303773
1637207922.988,0.284698486,0.39654538,-0.934783936
1637207923.008,0.317184448,0.455596954,-0.860305786
1637207923.028,0.313766509,0.465805054,-0.758255005
1637207923.048,0.290603667,0.594741881,-0.735488892
1637207923.068,0.322357178,0.624710113,-0.736618042
1637207923.088,0.324462861,0.603210449,-0.751235902
1637207923.107,0.319717437,0.527954102,-0.763946533
1637207923.127,0.312057525,0.442657501,-0.775131226
1637207923.147,0.330383271,0.421630859,-0.827194154
1637207923.166,0.349838257,0.428543121,-0.864883423
1637207923.186,0.322067261,0.373153716,-0.87272644
1637207923.206,0.321426362,0.350601196,-0.844665468
1637207923.227,0.307067871,0.37210083,-0.817016542
1637207923.246,0.31463626,0.46534732,-0.839736879
1637207923.266,0.334060669,0.474929839,-0.847213686
1637207923.286,0.323471069,0.419815093,-0.812332153
1637207923.307,0.309463531,0.403503418,-0.802108765
1637207923.325,0.300033569,0.387420684,-0.836807251
1637207923.345,0.335128814,0.384552032,-0.86227417
1637207923.366,0.351120025,0.422561675,-0.855072021
1637207923.385,0.344009429,0.447860718,-0.833679199
1637207923.405,0.350723267,0.465133637,-0.828964233
1637207923.425,0.344284058,0.484512299,-0.829467714
1637207923.445,0.336120605,0.494827241,-0.82611078
1637207923.464,0.328292847,0.47845459,-0.82170099
1637207923.509,0.32975772,0.470413208,-0.831588745
1637207923.510,0.319076568,0.481658936,-0.837432861
1637207923.523,0.312072784,0.465194732,-0.828201234
1637207923.543,0.314621001,0.474838257,-0.818878114
1637207923.563,0.314559966,0.48059085,-0.818161011
1637207923.583,0.313873291,0.478759795,-0.816207886
1637207923.604,0.3388367,0.489700317,-0.811477661
1637207923.623,0.359298706,0.497345001,-0.809020996
1637207923.647,0.363006622,0.484802276,-0.808898926
1637207923.663,0.352767944,0.479293853,-0.81640625
1637207923.686,0.346862823,0.480255157,-0.812088013
1637207923.702,0.356109619,0.479919463,-0.807174623
1637207923.736,0.355239898,0.488891631,-0.806488037
1637207923.742,0.341415435,0.503540069,-0.804885864
1637207923.764,0.325714111,0.495803833,-0.800872743
1637207923.782,0.314804077,0.479980469,-0.810348511
1637207923.806,0.316848755,0.475540191,-0.819244385
1637207923.822,0.323623687,0.477645874,-0.827072144
1637207923.842,0.316329956,0.484024078,-0.826766968
1637207923.862,0.30947873,0.488021821,-0.820449769
1637207923.882,0.284500122,0.470718384,-0.820419312
1637207923.901,0.278564483,0.468017608,-0.822021484
