timestamp,accel_x,accel_y,accel_z
1637208257245,103.6549,10.8286,19.2373
1637208257259,103.6367,11.3002,17.5492
1637208257275,104.1115,12.0983,18.6808
1637208257291,104.3124,12.0801,19.4599
1637208257305,104.0567,12.5155,18.8107
1637208257321,104.495,12.6606,19.1631
1637208257337,103.3262,11.536,19.6269
1637208257351,102.7418,11.4453,19.6826
1637208257367,103.6732,11.6267,19.3672
1637208257383,103.6732,12.4973,17.846
1637208257397,104.3489,12.0439,18.755
1637208257413,104.8054,11.8625,19.5712
1637208257429,105.1342,11.6085,18.7365
1637208257445,104.7324,11.9894,19.0704
1637208257459,104.568,13.0777,18.8849
1637208257475,105.5177,12.3341,16.8999
1637208257491,105.5177,11.1551,16.9927
1637208257505,105.4264,10.9918,16.9185
1637208257521,105.5359,11.935,18.4025
1637208257537,104.2576,11.5179,19.0889
1637208257551,103.0523,11.6267,17.9202
1637208257567,104.7872,11.5723,18.2541
1637208257583,105.8646,11.5541,18.4396
1637208257597,105.7733,12.0983,17.679
1637208257613,104.2211,11.5904,18.4767
1637208257629,104.2028,12.8057,19.7939
1637208257643,104.3672,14.0935,19.293
1637208257659,104.5315,13.0596,19.5156
1637208257675,103.8923,12.0801,19.7011
1637208257689,103.801,12.3159,19.2559
1637208257705,102.8332,14.2023,19.9794
1637208257721,102.8697,13.6038,19.4043
1637208257735,102.3766,11.3727,18.4582
1637208257751,103.1619,12.9326,17.0112
1637208257767,105.7003,12.6062,17.9202
1637208257781,104.7141,13.4224,18.2912
1637208257797,105.2803,12.9871,18.9405
1637208257813,104.495,11.4816,18.3469
1637208257829,103.9837,11.8443,17.0669
1637208257843,104.7872,12.8601,18.2541
1637208257859,105.4629,12.2797,19.0704
1637208257875,104.4402,12.0801,18.5138
1637208257889,104.3672,12.6424,19.0518
1637208257905,104.2576,12.9326,18.6066
1637208257921,103.6915,11.6085,17.1596
1637208257935,103.6002,11.6811,17.1225
1637208257951,104.2758,12.588,17.9944
1637208257967,104.6228,13.9303,17.5121
1637208257981,104.0567,13.64,17.1411
1637208257997,104.2211,13.0959,17.5492
1637208258013,104.0202,13.1503,17.7533
1637208258027,105.2803,13.2229,18.6251
1637208258043,104.9515,12.5336,18.1985
1637208258059,104.8785,13.0052,19.0889
1637208258073,104.8237,12.588,17.7904
1637208258089,104.0567,12.4792,19.0889
1637208258105,103.6915,12.4066,19.126
1637208258119,103.7463,11.8625,18.0686
1637208258135,103.1436,11.4997,19.0147
1637208258151,104.0384,13.1866,19.7011
1637208258165,105.0794,13.9665,20.5173
1637208258181,104.9698,14.0391,19.5341
1637208258197,105.0429,13.8033,20.5915
1637208258213,104.495,13.2229,18.5695
1637208258227,104.7324,12.6606,18.9776
1637208258243,105.3168,11.8988,19.4228
1637208258259,105.6272,11.5904,18.7736
1637208258273,104.6411,12.7875,18.217
1637208258289,103.7645,12.6968,18.8663
1637208258305,104.4585,13.5856,19.7197
1637208258319,105.0794,13.7126,20.2947
1637208258335,103.9289,12.9871,18.4767
1637208258351,103.6549,13.2954,18.7736
1637208258365,103.8558,12.0257,18.6808
1637208258381,104.4037,12.1708,18.4767
1637208258397,104.1845,13.0233,18.2356
1637208258411,104.8237,12.9689,18.013
1637208258427,104.7141,12.4066,17.308
1637208258443,106.1203,11.4272,17.7718
1637208258457,105.4264,11.409,17.4008
1637208258473,104.3854,13.4042,17.9017
1637208258489,105.3716,13.9484,18.384
1637208258503,104.4402,14.1479,19.6269
1637208258519,104.4402,13.8577,21.0368
1637208258535,104.0384,13.9847,19.664
1637208258549,103.7097,12.9871,19.2559
1637208258565,104.7141,14.6921,18.2912
1637208258581,106.102,15.7441,17.9388
1637208258597,105.0246,14.7102,18.0686
1637208258611,104.6959,13.64,19.4414
1637208258627,104.9881,13.3861,18.2541
1637208258643,104.8237,12.9145,17.4379
1637208258657,104.8237,13.9847,17.5121
1637208258673,103.5454,15.2543,17.7904
1637208258689,103.7828,14.5288,18.7921
1637208258703,103.8741,13.7851,17.9202
1637208258719,103.6915,14.4018,18.1057
1637208258735,103.6915,15.8348,19.7197
1637208258749,104.7872,16.0706,20.4802
1637208258765,104.6776,16.524,19.3486
1637208258781,104.4219,15.998,19.5527
1637208258795,103.6915,15.998,19.3672
1637208258811,103.4175,15.5083,18.6066
1637208258827,103.5088,15.5083,19.4228
1637208258841,105.0246,15.0911,20.5915
1637208258857,103.9837,17.0319,20.2391
1637208258873,103.728,15.7985,18.384
1637208258887,104.2393,15.6715,16.9741
1637208258903,104.1298,15.6353,16.8628
1637208258919,103.0706,16.3608,18.9591
1637208258933,103.3262,18.6099,19.8124
1637208258949,103.6732,19.2811,20.2576
1637208258965,103.8923,18.2472,18.384
1637208258981,105.0429,18.6281,18.6251
1637208258995,104.495,19.0271,19.6826
1637208259011,104.915,17.9207,19.7568
1637208259027,104.0384,19.8615,18.4211
1637208259041,103.3993,20.6959,17.679
1637208259057,103.2532,19.5169,17.2709
1637208259073,103.6184,19.408,15.8982
1637208259087,102.4862,18.882,16.3248
1637208259103,102.3949,17.83,16.2877
1637208259119,102.7053,17.304,18.2912
1637208259133,105.3716,18.2835,18.1243
1637208259149,106.2847,19.1541,16.8628
1637208259165,105.4811,19.3899,19.2559
1637208259179,104.495,18.9727,18.6622
1637208259195,103.3445,19.0815,18.6251
1637208259211,103.308,18.1928,17.0854
1637208259225,102.614,17.6486,16.2877
1637208259241,102.4862,16.125,15.2674
1637208259257,103.728,17.5035,15.2118
1637208259271,102.8697,18.8639,16.6216
1637208259287,102.1209,20.5145,18.7179
1637208259303,103.034,19.9159,19.6269
1637208259317,105.9377,19.8434,20.202
1637208259333,106.9786,19.9159,18.2541
1637208259349,106.8143,18.7188,17.2338
1637208259365,104.8054,19.1178,14.6367
1637208259379,104.0384,19.4806,13.9689
1637208259395,103.0523,19.7889,14.3399
1637208259411,102.0296,19.8796,15.2118
1637208259425,102.7784,19.4443,16.1579
1637208259441,103.7097,19.7164,15.9724
1637208259457,103.9289,19.7708,16.8072
1637208259471,104.0567,19.7164,15.1932
1637208259487,104.2758,18.6281,14.9521
1637208259503,106.029,18.2109,13.8205
1637208259517,105.7185,19.4987,12.3178
1637208259533,105.3716,18.7188,13.4494
1637208259549,104.4585,17.5398,13.8947
1637208259563,103.1619,18.6099,13.9132
1637208259579,103.6367,20.2424,14.7851
1637208259595,103.2167,20.7684,14.4326
1637208259609,104.4219,20.9498,16.4547
1637208259625,104.6046,20.3331,14.8222
1637208259641,105.8829,20.6596,13.2083
1637208259655,107.216,21.0042,11.8541
1637208259671,106.0655,20.188,12.8373
1637208259687,104.2576,18.4286,14.2657
